"Key"	"Value"
"% Comments"	"% 留言"
"%s building in %s, %s"	"%s 建筑物（以 %s、%s） 表示"
"%s centre"	"％s中心"
"%s centre in %s, %s"	"％s以％s为中心，％s"
"%s centres"	"％s中心"
"%s guests"	"%s 客人"
"%s offices"	"％s办公室"
"%s Search Results for "	"%s 搜索结果"
"01"	"01"
"02"	"02"
"03"	"03"
"1 Comment"	"1 留言"
"About "	"关于"
"Address"	"地址"
"All"	"全部"
"All Buildings"	"所有建筑物"
"All Business Sizes"	"所有业务规模"
"All Categories"	"所有类别"
"All Cities"	"所有城市"
"All Departments"	"所有部门"
"All Locations"	"所有地点"
"All Locations *"	"所有地点 *"
"All rights reserved"	"版权所有"
"All Services"	"所有服务"
"Allowed Characters 1-9, - , +"	"允许字符 1-9， - ， |"
"Amenities"	"设施"
"Apply"	"应用"
"Archives"	"档案"
"Article"	"文章"
"Article "	"文章"
"Author Archives for "	"作者档案"
"Back to "	"回到"
"Back to Home"	"返回首页"
"Back to News"	"返回新闻"
"Blog"	"博客"
"Blog "	"博客"
"Blog Article"	"博客文章"
"Book a free tour"	"免费预订参观"
"Book now"	"立即预订"
"Building"	"大厦"
"Business Concierge"	"商务礼宾服务"
"Business Concierge Service"	"商务礼宾服务"
"Business Size"	"业务规模"
"Case Study"	"案例分析"
"Category"	"类别"
"Centre Details"	"中心详情"
"Centre features"	"中心特色"
"Change Regions"	"变更地区"
"Check Availability"	"检查可用性"
"Check Our Locations"	"查看我们的位置"
"Choose an Executive Centre"	"选择行政中心"
"Cities *"	"城市 *"
"City"	"城市"
"City Brochure"	"城市宣传册"
"City features"	"城市特色"
"City Guide"	"城市指南"
"Close"	"关闭"
"Close Filters"	"关闭过滤器"
"Comments are closed here."	"注释在此关闭。"
"Company "	"公司"
"Competitors"	"竞争 对手"
"Complete the form to download"	"填写要下载的表单"
"Complete this form to download the"	"填写此表格以下载"
"Configurations"	"配置"
"Contact us"	"联系我们"
"Corporate"	"企业"
"Corporate "	"企业"
"Country"	"国家"
"Country *"	"国家 *"
"Coworking"	"合作"
"Date"	"日期"
"Date posted: "	"发布日期："
"Department"	"部门"
"Download"	"下载"
"Download "	"下载"
"Download Full Whitepaper"	"下载完整的白皮书"
"Download our PDF presentation"	"下载PDF格式的演示"
"Download PDF"	"下载 PDF"
"Download TEC’s City Guide on this section"	"在此部分下载 TEC 的城市指南"
"Duration"	"时间"
"Enterprise Solutions"	"企业解决方案"
"Expected Move In"	"预期搬进来"
"Explore other cities in %s"	"探索％s其他城市"
"Explore our Exclusive Centres in %s"	"探索我们在％s的德事商务中心"
"Extra Menu"	"额外菜单"
"Filter"	"滤波器"
"Filters"	"过滤 器"
"Footer 1ยบ"	"脚 1ยบ"
"Footer 2ยบ"	"脚 2ยบ"
"Footer 3ยบ"	"脚 3ยบ"
"Footer Copyright"	"脚部版权所有"
"Footer Widgets 1"	"脚小工具 1"
"Footer widgets area 1"	"脚部小部件区域 1"
"Get a Quote"	"获取报价"
"Go Beyond"	"超越"
"Great, this option is available for you!"	"太好了，此选项可供您使用！"
"Guests"	"来宾"
"Header Menu"	"标题菜单"
"Home"	"家"
"Immediate booking"	"立即预订"
"Include an '@' in the email address."	"在电子邮件地址中包含""@""。"
"Interested City *"	"感兴趣的城市 *"
"Interested Service *"	"感兴趣的服务 *"
"Latest Posts"	"最新帖子"
"Learn More"	"了解更多信息"
"Leave your thoughts"	"留下你的想法"
"Live Chat"	"实时聊天"
"load more"	"加载更多"
"Load More Specifications"	"加载更多规格"
"Location"	"位置"
"Make an Enquiry"	"进行查询"
"Material"	"材料"
"Meeting & Conference"	"会议与会议"
"Meeting Rooms"	"会议室"
"Meetings & Conferences"	"会议与会议"
"No Available Results. Please make a different selection."	"无可用结果。请进行其他选择。"
"No results for your query. Please try other options."	"查询没有结果。请尝试其他选项。"
"Not sure yet?"	"还不确定？"
"Number of Guests"	"来宾人数"
"Number Of People"	"人数"
"Open Filters"	"打开筛选器"
"Opening Positions "	"职位空缺"
"Others"	"别人"
"Our Address Book"	"我们的通讯录"
"Our locations"	"我们的位置"
"Password:"	"密码："
"Plan features"	"规划功能"
"Please enter a company"	"请输入公司"
"Please enter a name"	"请输入名称"
"Please enter a valid email address"	"请输入有效的电子邮件地址"
"Please enter a valid phone number"	"请输入有效的电话号码"
"Please enter your full name"	"请输入您的全名"
"Please return to our home."	"请回我们家。"
"Please select a city"	"请选择城市"
"Please select a country"	"请选择国家"
"Please select a service"	"请选择服务"
"Please select an option."	"请选择一个选项。"
"Post is password protected. Enter the password to view any comments."	"帖子受密码保护。输入密码以查看任何注释。"
"Private Workspace"	"私人工作区"
"Private Workspace (Serviced Office)"	"私人工作空间（服务办公室）"
"Published by"	"发布者"
"Purchase Complete"	"购买完成"
"Questions"	"问题"
"Read full case study"	"阅读完整的案例研究"
"Read More ››"	"了解更多"
"Receive our latest news"	"接收我们的最新消息"
"Register/Download"	"注册/下载"
"Related Articles"	"相关文章"
"Related Case Studies"	"相关案例研究"
"Related Content"	"相关内容"
"Request a service quote"	"索取服务报价"
"Room Details"	"房间详情"
"Schedule A Tour"	"预约参观"
"Schedule free tour"	"安排免费旅游"
"Schedule Tour"	"行程安排"
"Search"	"搜索"
"See %s details"	"请参阅 %s 详细信息"
"See contact information for: "	"有关以下信息，请参阅联系信息："
"See details"	"查看详细信息"
"See Pricing"	"查看定价"
"Select a Service"	"选择服务"
"Select and sign"	"选择并签名"
"Select Date"	"选择日期"
"Select Your Region"	"选择您的区域"
"Service Type"	"服务类型"
"Services"	"服务"
"Share this"	"分享此"
"Shedule Free Tour"	"谢杜勒免费旅游"
"Sign up now!"	"立即注册！"
"Sorry, nothing to display."	"抱歉，没有显示内容。"
"Sorry, this page doesn't exist."	"抱歉，此页面不存在。"
"SSID: "	"SSID:"
"Start at"	"从"
"Submit Payment Online"	"在线提交付款"
"Succes Stories"	"成功故事"
"Tag Archive: "	"标记存档："
"TEC Facebook"	"TEC Facebook"
"TEC Linkedin"	"TEC领英"
"TEC Weibo"	"TEC微博"
"TEC Youtube"	"TEC Youtube"
"Testimonials"	"推荐"
"Thank you!"	"谢谢！"
"The Executive Centre"	"行政中心"
"The Executive Centre."	"德事商务中心"
"There are no results matching your selection. Please try again with different filters."	"没有符合您选择的结果。请使用其他过滤器重试。"
"To search, type and hit enter."	"要搜索，键入并回车。"
"Traditional Office"	"传统办公室"
"Type of post"	"职位类型"
"view all available positions"	"查看所有空缺职位"
"View Article"	"查看文章"
"View More Success Stories"	"查看更多成功案例"
"Virtual Office"	"虚拟办公室"
"Visit Our Site"	"访问我们的网站"
"We are sorry, but this option has been already booked."	"很抱歉，此选项已预订。"
"We are sorry, but we have no results for your search criteria. Please try again."	"很抱歉，没有符合您搜索条件的结果。请再试一遍。"
"What our clients are saying"	"我们的客户在说什么"
"What our Coworking Space clients are saying"	"我们的合作空间客户在说什么"
"When and where do you need a meeting room?"	"何时何地需要会议室？"
"When do you need to meet?"	"您什么时候需要见面？"
"White paper"	"白皮书"
"Whitepaper"	"白皮书"
"Whitepaper "	"白皮书"
"Work With Us "	"加入我们"
"You have to select a valid city."	"您必须选择一个有效的城市。"
"You have to select a valid product."	"您必须选择有效的产品。"
"Your email"	"您的电子邮件"
"Your name"	"您的姓名"
"Your phone"	"您的手机"
